I,PREDISPATCH,PRICESENSITIVITIES,1,PREDISPATCHSEQNO,RUNNO,REGIONID,PERIODID,INTERVENTION,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP21,RRPEEP22,RRPEEP23,RRPEEP24,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,DATETIME,LASTCHANGED,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,INTERVENTION_ACTIVE,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,11,0,200.29339,201.86851,198.77993,202.12117,198.01626,202.38609,207.7315,202.90633,197.52001,207.1863,162.32495,225.15687,122.02,322.11866,201.54945,199.28187,202.90633,197.52001,207.1863,137.59946,0,0,0,0,205.01433,196.17898,211.69013,129.84794,2025/06/26 05:30:00,2025/06/26 00:05:23,200.29339,201.35357,198.77993,202.12117,196.53492,202.38609,207.1863,0,200.40205,200.40205,200.40205,200.40205,200.40205,199.26421,200.44593,218.06156
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,12,0,211.62971,206.08484,211.62971,198.8822,216.16065,197.37004,278.42133,214.06757,196.02728,216.79083,188.78409,266.96,162.7322,331.70377,212.19858,207.71173,214.06757,199.8028,216.23761,188.78409,0,0,0,0,216.16065,173.45453,266.96,139.01312,2025/06/26 06:00:00,2025/06/26 00:05:23,211.62971,206.6243,211.62971,204.44431,216.16065,197.37004,266.96,0,209.94128,209.9213,209.94128,202.56207,214.06757,196.02728,220.62606,222.86649
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,13,0,253.0257,236.61816,255.94475,218.21731,266.96,203.52011,305.59267,266.96,226.09257,263.84681,220.98472,296.57145,189.45746,350.1578,254.96204,241.96,265.85073,239.45075,263.84681,221.60021,0,0,0,0,266.96,211.16475,319.93961,178.9607,2025/06/26 06:30:00,2025/06/26 00:05:23,252.7583,236.61816,252.7583,218.21731,266.96,217.67179,305.59267,0,254.96204,241.96,256.90941,234.33813,258.86791,231.61402,266.96,271.25629
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,14,0,386.5554,336.23018,449.96,336.23018,449.96,336.23018,691.16,386.5554,331.20775,449.96,327.39478,566.45406,316.48264,691.16,379.05532,349.41917,377.57878,331.20775,449.96,327.39478,0,0,0,0,449.96,328.71823,662.69678,305.22565,2025/06/26 07:00:00,2025/06/26 00:05:23,385.03953,336.23018,449.96,336.23018,449.96,336.23018,659.05088,0,382.0317,353.39156,449.12483,351.63029,449.96,351.63029,449.96,511.9499
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,15,0,691.16,682.0538,691.16,643.20437,1043.31406,550.44773,3700.12,691.16,680.59119,691.16,617.93943,1049.24229,498.76704,3700.12,691.16,691.16,691.16,680.59119,691.16,617.93943,0,0,0,0,1007.63908,580.16378,1112.11,385.38612,2025/06/26 07:30:00,2025/06/26 00:05:23,691.16,691.16,691.16,691.16,1015.57838,676.67383,1110.11,0,691.16,691.16,691.16,691.16,691.16,691.16,691.16,947.95935
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,16,0,691.16,785.32765,691.16,806.25451,1035.22197,852.03571,3700.12,714.36963,712.95695,1006.08646,616.52264,1110.11,406.48,17499.93,714.36963,712.95695,714.36963,712.95695,963.95855,616.52264,0,0,0,0,994.35723,662.97548,1112.11,461.3094,2025/06/26 08:00:00,2025/06/26 00:05:23,712.95695,712.95695,712.95695,712.95695,712.94254,712.95695,746.92221,0,714.36963,712.95695,714.36963,712.95695,994.35723,712.95695,1027.07792,1110.11
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,17,0,856.96024,876.94034,856.96024,876.80041,801.81984,877.91306,987.08877,877.53646,838.76426,987.08877,655.34359,1110.11,406.48,17499.97,876.65927,876.51691,877.53646,838.76426,946.00755,655.34359,0,0,0,0,857.90848,713.7797,988.07586,685.13826,2025/06/26 08:30:00,2025/06/26 00:05:23,875.48901,877.37376,875.17176,877.37376,861.98025,884.02314,856.34933,0,876.65927,876.51691,877.53646,876.51691,877.67708,876.51691,1006.54791,1110.11
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,18,0,688.04049,712.9271,688.04049,714.12544,688.04049,718.44437,660.35152,848.30261,683.25438,877.66307,678.52353,999.31271,536.09256,3709.12,714.68049,685.64046,848.30261,683.25438,877.66307,678.52353,0,0,0,0,849.42184,703.9609,877.70121,673.847,2025/06/26 09:00:00,2025/06/26 00:05:23,709.14811,711.70794,709.14811,712.27665,703.21451,718.44437,674.6039,0,714.68049,708.51539,848.30261,708.51539,851.3575,708.51539,879.37555,900.73621
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,19,0,677.44168,677.44168,629.52471,677.44168,613.95073,707.90198,372.08436,682.15993,660.63791,702.01489,545.15867,879.47146,321.22454,1045.95293,679.79398,675.1029,682.15993,660.66831,696.13167,569.63701,0,0,0,0,684.53964,658.70313,694.19851,464.14529,2025/06/26 09:30:00,2025/06/26 00:05:23,677.44168,677.44168,677.44168,677.44168,677.44168,677.44168,654.29141,0,677.44168,675.1029,679.79398,675.1029,682.15993,675.1029,719.73778,879.47146
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,20,0,372.75838,372.75838,372.75838,374.2098,372.75838,373.44646,360.88135,491.68786,323.73536,689.4159,290.37589,750.33905,230.08678,983.96,464.95623,370.45136,491.68786,323.73536,688.37696,303.09229,0,0,0,0,671.53186,321.09615,678.55346,293.77226,2025/06/26 10:00:00,2025/06/26 00:05:23,372.75838,372.75838,372.75838,372.75838,372.75838,372.75838,372.75838,0,464.95623,372.75838,491.68786,330.90429,643.96964,330.24178,706.67515,750.33905
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,21,0,464.36512,476.9966,464.36512,476.9966,449.96,490.23487,417.10829,600.82,449.96,698.94293,328.99689,747.14938,267.06472,886.20973,600.82,449.96,600.82,449.96,701.23119,329.80901,0,0,0,0,668.43482,373.87517,675.37605,321.09615,2025/06/26 10:30:00,2025/06/26 00:05:23,464.36512,472.58171,464.36512,472.58171,464.36512,472.58171,464.36512,0,600.82,449.96,600.82,449.96,643.90527,449.96,703.53258,747.60017
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,22,0,449.96,449.96,449.96,449.96,449.96,449.96,449.96,600.82,449.96,663.8797,331.73915,747.73693,266.96,884.66144,449.96,449.96,600.82,449.96,663.8797,331.73915,0,0,0,0,600.82,449.96,675.00433,322.88405,2025/06/26 11:00:00,2025/06/26 00:05:23,449.96,449.96,449.96,449.96,449.96,449.96,449.96,0,449.96,449.96,600.82,449.96,600.82,449.96,727.95803,749.11183
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,23,0,449,449,449,449,449,449,428.83051,449.96,322.90555,449.96,303.86903,734.45951,266.96,782.8949,449.96,326.22478,449.96,322.90555,449.96,304.80359,0,0,0,0,449.96,319.56504,600.82,301,2025/06/26 11:30:00,2025/06/26 00:05:23,449,449,449,449,449,449,449,0,449.96,328.71421,449.96,328.71421,449.96,328.69231,600.82,734.45951
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,24,0,324.56517,324.56517,324.56517,324.56517,324.56517,324.56517,324.56517,449,304.29367,449.96,301,660.47333,223.2303,755.50091,449,321.24594,449,310.17658,449.96,304.29367,0,0,0,0,449.96,304.88692,449.96,298.54133,2025/06/26 12:00:00,2025/06/26 00:05:23,324.56517,324.56517,324.56517,324.56517,324.56517,324.56517,324.56517,0,449,324.56517,449,304.29367,449.96,304.17565,449.96,658.81438
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,25,0,378.89363,378.89363,378.89363,378.89363,378.89363,378.89363,378.89363,449.96,320.41613,449.96,301,677.23981,231.12445,755.22084,449,323.73536,449.96,320.41613,449.96,306.28185,0,0,0,0,449.96,306.87236,600.82,300.95182,2025/06/26 12:30:00,2025/06/26 00:05:23,378.89363,378.89363,378.89363,378.89363,378.89363,378.89363,378.89363,0,449,326.22478,449.96,326.22478,449.96,306.28185,600.47,675.5364
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,26,0,306.3995,306.98999,303.35269,306.98999,301,306.98999,301,326.22478,301,449.96,293.78382,600.82,216.92199,750.14579,322.90555,301,326.22478,301,449.96,301,0,0,0,0,449,300.7375,449.96,266.96,2025/06/26 13:00:00,2025/06/26 00:05:23,306.3995,306.3995,306.3995,306.3995,306.3995,306.3995,301.59732,0,319.58633,301,319.58633,301,449,297.23348,449.96,600.82
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,27,0,307.20962,307.20962,306.61942,307.20962,301,307.20962,301,325.39498,296.33052,449,266.96,600.82,193.58651,747.23036,322.07575,301,324.56517,301,449,266.96,0,0,0,0,354.92,266.96,449.96,223.2303,2025/06/26 13:30:00,2025/06/26 00:05:23,307.20962,307.20962,307.20962,307.20962,307.20962,307.20962,301,0,318.75652,298.65093,318.75652,296.33052,354.92,266.96,449.96,600.82
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,28,0,377.82322,377.82322,377.82322,377.82322,377.82322,377.82322,377.82322,449,322.90555,449.96,307.34399,658.81438,220.12678,788.73025,449,349.01,449,322.90555,449.96,307.34399,0,0,0,0,449.96,310.77,449.96,295.45266,2025/06/26 14:00:00,2025/06/26 00:05:23,377.82322,377.82322,377.82322,377.82322,377.82322,377.82322,377.82322,0,449,346.46422,449,329.54401,449.96,310.77,449.96,657.15543
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,29,0,310.78,310.78,310.78,310.78,310.78,310.77,311.87,389.62267,303.45984,449.96,266.96,672.26832,185.79777,767.98492,323.77849,307.59659,380.55056,307.59659,449.96,266.96,0,0,0,0,449.96,266.96,449.96,223.1666,2025/06/26 14:30:00,2025/06/26 00:05:23,310.78,310.78,310.78,310.78,310.78,310.78,310.78,0,321.28874,307.59659,449,303.45984,449.96,266.96,449.96,658.81438
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,30,0,600.82,600.82,600.82,600.82,600.82,600.82,600.82,731.00717,534.12466,754.06795,326.94566,834.10221,221.06456,983.96,681.35486,600.82,731.00717,534.12466,754.06795,326.94566,0,0,0,0,732.31071,360.07,739.22699,323.53823,2025/06/26 15:00:00,2025/06/26 00:05:23,600.82,600.82,600.82,600.82,600.82,600.82,600.82,0,658.81438,600.82,658.85828,600.82,660.51735,600.82,756.38306,834.10221
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,31,0,406.48,406.48,406.48,406.48,406.48,406.48,364.15846,532.49641,406.48,657.73422,406.48,821.82407,306.56731,905.88421,489.73009,406.48,532.49641,406.48,600.82006,406.48,0,0,0,0,600.82,406.48,669.99974,372.86553,2025/06/26 15:30:00,2025/06/26 00:05:23,406.48,406.48,406.48,406.48,406.48,406.48,406.48,0,489.73009,406.48,532.49641,406.48,600.82,406.48,633.97236,817.02064
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,32,0,672.29825,687.94694,658.81368,688.58545,406.48,707.92713,406.48,696.77624,657.15511,717.97287,463.89915,860.18392,384.70498,1075.66517,692.5378,667.81051,696.77624,657.15511,707.54807,463.89915,0,0,0,0,690.51781,600.82,684.19628,476.00598,2025/06/26 16:00:00,2025/06/26 00:05:23,682.06989,683.13867,672.29825,683.13867,649.91079,683.55666,600.82,0,684.09182,683.52877,684.12248,667.81051,690.23581,667.81051,704.04245,862.92001
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,33,0,763.84973,867.77992,691.16,876.62152,1021.72822,879.66499,1298.89,887.1244,773.03257,1050.42483,656.14076,1119.04908,337.77717,10346.66371,835.51014,817.82313,887.1244,791.50743,1005.80437,656.14076,0,0,0,0,723.21782,711.26066,1051.47526,709.24088,2025/06/26 16:30:00,2025/06/26 00:05:23,813.27812,826.44809,820.78884,828.23911,785.42565,855.18338,766.7474,0,817.82313,817.82313,824.11977,838.78398,841.67222,838.78398,1050.42483,1110.11
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,34,0,1503.65334,1150.699,3700.12,1112.11,4060.69087,1110.11,17499.91,3700.12,1112.11,3709.12,1110.11,9961.50622,652.82798,17500,1514.90236,1142.14097,3700.12,1112.11,3709.12,1110.11,0,0,0,0,3896.63507,1020.64714,15956.69121,725.20517,2025/06/26 17:00:00,2025/06/26 00:05:23,1447.05608,1447.05608,1447.05608,1447.05608,1503.65334,1447.05608,3709.12,0,1447.05608,1447.05608,1514.90236,1447.05608,3700.12,1447.05608,3709.12,8971.0847
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,35,0,17499.89,16556.5,17499.91,16350.86171,17499.91,12166.55064,17499.91,17499.89,16400,17499.91,15389,17499.91,10344.27614,17500,17499.89,17496.64,17499.89,16556.5,17499.89,15869.38906,0,0,0,0,17499.91,14000,17499.91,9800,2025/06/26 17:30:00,2025/06/26 00:05:23,17499.89,17499.89,17499.89,17499.89,17499.91,17499.89,17499.91,0,17499.89,17499.89,17499.89,17499.89,17499.89,17499.89,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,36,0,17499.91,17499.91,17499.91,17499.89,17499.91,16905.79881,17499.91,17499.91,17499.91,17499.91,17499.89,17499.91,16242.73,17500,17499.91,17499.91,17499.91,17499.91,17499.91,17499.89,0,0,0,0,17499.91,17499.89,17499.91,12020,2025/06/26 18:00:00,2025/06/26 00:05:23,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,37,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.89,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.89,17500,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,0,0,0,17499.91,17499.91,17499.91,16400,2025/06/26 18:30:00,2025/06/26 00:05:23,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,38,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17500,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,0,0,0,17499.91,17499.91,17500,16681.9,2025/06/26 19:00:00,2025/06/26 00:05:23,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,39,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.89,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.89,17500,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,0,0,0,17499.91,17499.91,17499.91,16755.28054,2025/06/26 19:30:00,2025/06/26 00:05:23,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,40,0,17499.91,17499.89,17499.91,17499.89,17499.91,9365.11744,17499.91,17499.91,17499.89,17499.91,17499.89,17499.91,9365.11744,17499.91,17499.91,17499.91,17499.91,17499.89,17499.91,17499.89,0,0,0,0,17499.91,16359.13538,17499.91,1295.29,2025/06/26 20:00:00,2025/06/26 00:05:23,17499.91,17499.91,17499.91,17499.91,17499.91,17499.89,17499.91,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,41,0,17499.91,17499.89,17499.91,17499.89,17499.91,9278.11852,17499.91,17499.91,17499.89,17499.91,17499.89,17499.91,9314.33499,17499.91,17499.91,17499.89,17499.91,17499.89,17499.91,17499.89,0,0,0,0,17499.91,15000.003,17499.91,1295.12,2025/06/26 20:30:00,2025/06/26 00:05:23,17499.91,17499.89,17499.91,17499.89,17499.91,17499.89,17499.91,0,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91,17499.91
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,42,0,17499.89,16897.08647,17499.91,15885.79095,17499.91,1359.57039,17499.91,17499.89,16897.08647,17499.91,15415.04166,17499.91,1295.34998,17499.91,17499.89,17499.89,17499.89,17230.30802,17499.89,15000.003,0,0,0,0,17499.91,3709.12,17499.91,1112.11,2025/06/26 21:00:00,2025/06/26 00:05:23,17499.89,16980.43827,17499.89,16897.08647,17499.91,16897.08647,17499.91,0,17499.89,17499.89,17499.89,17499.89,17499.89,17499.89,17499.89,17499.89
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,43,0,1112.11,955.69343,1139.02707,939.7079,3920,665.58322,17499.91,1112.11,955.69343,1285.36962,939.7079,17365.53081,661.97785,17499.97,977.60467,976.62804,1112.11,976.62804,1300.88,961.6661,0,0,0,0,4659.67888,663.90182,17499.91,590.23931,2025/06/26 21:30:00,2025/06/26 00:05:23,1112.11,955.69343,1295.36421,955.69343,13747.45821,954.25102,17499.91,0,977.60467,977.60467,985.22591,977.60467,985.22591,977.60467,1112.11,15666.0069
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,44,0,660.31929,583.45974,676.98061,583.45974,1015.32794,362.78076,2214.88998,667.2425,574.82121,702.72396,566.28346,1112.11,362.78076,17499.92,600.82006,580.06481,667.2425,574.82121,702.72396,566.28346,0,0,0,0,981.9091,384.27195,1307.55262,339.78593,2025/06/26 22:00:00,2025/06/26 00:05:23,663.79123,583.50642,663.8797,583.45974,1023.30745,504.32972,1300.88,0,600.82,580.06481,600.82,579.1741,603.73,579.1741,702.72396,1112.11
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,45,0,449.96,368.53192,489.27822,335.53611,600.82,335.53611,1038.80671,449.96,369.96147,449.96,325.56478,659.57768,311.02965,1162.80309,449.96,394.60466,449.96,377.22102,449.96,325.56478,0,0,0,0,600.82,328.03609,997.69545,303.52971,2025/06/26 22:30:00,2025/06/26 00:05:23,449.96,336.85,530.36724,335.53611,564.482,335.53611,996.69875,0,449.96,432.31735,449.96,413.27391,449.96,413.27391,449.96,664.5246
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,46,0,321.45221,321.45221,321.45221,321.45221,366.14408,295.70303,503.91451,326.36161,316.59856,331.18157,311.79973,366.14408,284.00395,590.64616,323.89988,319.01848,326.36161,316.59856,331.18157,311.79973,0,0,0,0,341.00837,297.40345,527.63965,256.42444,2025/06/26 23:00:00,2025/06/26 00:05:23,321.45221,321.45221,321.45221,321.45221,366.14408,285.32167,503.91451,0,323.89988,319.01848,323.89988,316.59856,326.36161,316.59856,331.32773,338.88542
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,47,0,329.02105,314.60166,328.71421,305.7384,329.24201,270.92783,378.13941,332.36143,307.55397,337.39732,294.57263,352.86275,262.54774,449.96,328.70288,312.23888,332.36143,307.55397,337.39732,298.88926,0,0,0,0,334.87207,272.70861,363.11572,233.83085,2025/06/26 23:30:00,2025/06/26 00:05:23,329.85086,314.60166,329.85086,305.7384,329.86527,268.90008,373.05148,0,325.39498,310.89,332.36143,309.88969,334.87207,307.55397,342.49213,350.24714
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,48,0,301.24999,276.93841,309.98314,266.96424,327.48219,241.96,327.48219,305.83026,272.79084,319.46408,266.96,367.89504,241.96,449.96,303.53352,274.85864,305.83026,272.79084,319.46408,266.96,0,0,0,0,334.97252,264.95938,342.59435,223.33362,2025/06/27 00:00:00,2025/06/26 00:05:23,301.24999,276.93841,309.98314,266.96424,327.48219,266.96,327.48219,0,303.53352,274.85864,305.83026,274.85864,308.14032,270.73489,324.28778,349.01
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,49,0,265.61175,265.61175,266.96,241.96,295.20791,227.26588,316.06642,266.96,261.62905,269.6407,241.96,315.92101,212.33989,449.96,266.96,263.61467,266.96,261.62905,269.6407,241.96,0,0,0,0,295.22,223.88159,330.77699,198.48383,2025/06/27 00:30:00,2025/06/26 00:05:23,265.61175,265.61175,266.96,241.96,295.20791,229.21,316.06642,0,266.96,263.61467,266.96,261.62905,267.62039,248.03506,281.83767,315.92101
