I,PDREGION,Unnamed: 2,5,PREDISPATCHSEQNO,RUNNO,REGIONID,PERIODID,RRP,EEP,TOTALDEMAND,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,RAISEREGRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP,LOWERREGRRP,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,DECAVAILABILITY,LORSURPLUS,LRCSURPLUS,INTERVENTION,LOWER1SECLOCALDISPATCH,RAISE1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,RAISE1SECRRP,LOWER1SECRRP
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 05:30:00,200.40205,0,5264.35,5421.26,47,109.91,0,,,46,,,,,,,,56.0,,,,,,,,65.0,,,,,,,,189.86,,,,,,,,228.21,,,,,,,,160.0,,,,,,9136.262,314.0,5061.56118,5328.44,,44.0,,,,76.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,32.0,0.38,0.38,0.38,0.38,889.0,893.0,895.0,593.0,615.0,589.0,594.0,568.0,8964.44692,,,0.0,1.0,16.0,375.0,347.0,0.0,512.262,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 06:00:00,209.9213,0,5576.26,5502.23,1,-75.03,0,,,45,,,,,,,,58.0,,,,,,,,85.69,,,,,,,,216.2,,,,,,,,263.68,,,,,,,,163.0,,,,,,9181.231,289.0,5328.44074,5591.36,,55.0,,,,6.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,5.99,0.2,0.38,0.38,1.0,878.0,883.0,885.0,518.0,598.0,588.0,590.0,572.0,9021.84928,,,0.0,1.0,88.0,375.0,354.0,0.0,462.231,0.93,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 06:30:00,241.96,0,6128.98,5572.57,0,-556.42,0,,,75.22,,,,,,,,80.0,,,,,,,,105.47,,,,,,,,199.0,,,,,,,,252.0,,,,,,,,165.0,,,,,,9270.602,297.0,5591.36499,6140.21,,106.0,,,,41.0,,,,,,,,,,,,,,,,,,,0.39,0.24,0.15,9.89,0.1,0.38,0.2,1.0,889.0,893.0,895.0,532.0,634.0,614.0,608.0,554.0,9113.202,,,0.0,0.57,88.0,375.0,340.0,0.0,435.602,0.93,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 07:00:00,358.98396,0,6739.66,5599.69,0,-1139.97,0,,,71.79,,,,,,,,89.0,,,,,,,,43.0,,,,,,,,260.7,,,,,,,,281.33,,,,,,,,266.33,,,,,,9240.686,309.0,6140.21096,6760.96,,41.0,,,,130.0,,,,,,,,,,,,,,,,,,,0.39,0.39,0.24,12.89,0.04,0.38,0.2,1.0,839.0,844.0,846.0,431.67124,650.0,689.0,627.0,562.0,9083.286,,,0.0,0.0,112.82,339.0,355.0,0.0,407.686,0.94,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 07:30:00,691.16,0,7321.92,5844.97,0,-1476.95,0,,,70,,,,,,,,76.43,,,,,,,,44.0,,,,,,,,281.0,,,,,,,,290.6,,,,,,,,227.0,,,,,,9192.41,326.0,6760.96333,7361.89,,41.0,,,,12.0,,,,,,,,,,,,,,,,,,,10.0,0.39,0.39,0.39,0.0,0.1,0.1,2.0,865.0,870.0,872.0,373.75319,656.0,733.0,633.0,737.55789,9035.01,,,0.0,0.0,162.25,352.0,355.0,0.0,359.41,0.94,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 08:00:00,712.95695,0,7776.45,6199.15,0,-1577.3,0,,,59,,,,,,,,73.0,,,,,,,,0.0,,,,,,,,263.0,,,,,,,,270.0,,,,,,,,164.0,,,,,,9189.629,338.0,7361.88734,7834.39,,74.0,,,,25.0,,,,,,,,,,,,,,,,,,,2.5,0.39,0.38,9.89,0.0,0.04,0.1,1.66,711.0,743.0,707.0,451.48113,656.027935,795.027935,637.027935,1008.51887,9032.229,,,0.0,0.0,87.0,204.0,355.0,9.822,308.807,3.52,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 08:30:00,876.51691,0,7909.73,6757.06,0,-1152.67,0,,,52.71,,,,,,,,71.26,,,,,,,,82.26,,,,,,,,228.89,,,,,,,,236.0,,,,,,,,120.0,,,,,,9350.61,366.0,7834.3912,7948.84,,46.0,,,,50.0,,,,,,,,,,,,,,,,,,,0.38,0.36,0.24,10.0,0.1,0.1,0.1,3.6,679.0,711.0,675.0,535.55005,663.143075,813.143075,647.143075,914.1926,9093.3664,,,0.0,0.0,3.0,193.0,363.0,137.459,257.151,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 09:00:00,709.14811,0,7754.95,6750.35,0,-1004.61,0,,,70,,,,,,,,97.12,,,,,,,,67.12,,,,,,,,216.72,,,,,,,,235.0,,,,,,,,123.0,,,,,,9538.348,378.0,7948.84366,7786.06,,14.0,,,,175.0,,,,,,,,,,,,,,,,,,,0.38,0.15,0.1,5.0,0.1,0.1,0.1,1.0,682.0,713.0,677.0,732.0,667.81236,804.81236,659.81236,725.87503,9274.06638,,,0.0,0.0,5.0,195.0,363.0,382.257,211.091,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 09:30:00,677.44168,0,7569.1,6713.83,5,-860.27,0,,,52,,,,,,,,123.0,,,,,,,,109.0,,,,,,,,234.54,,,,,,,,272.0,,,,,,,,152.0,,,,,,9679.828,390.0,7786.05585,7594.28,,14.0,,,,30.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,20.56996,0.1,0.1,0.1,1.0,889.0,921.0,884.0,816.0,674.737465,812.737465,670.737465,578.0,9280.1904,,,0.0,0.0,16.0,375.0,363.0,572.033,168.795,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 10:00:00,372.75838,0,7240.77,6622.46,0,-618.31,0,,,85.52,,,,,,,,127.34,,,,,,,,121.34,,,,,,,,224.81,,,,,,,,268.0,,,,,,,,158.0,,,,,,9701.455,401.0,7594.27621,7254.13,,47.0,,,,30.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,20.56996,0.37,0.37,0.37,0.37,891.0,923.0,886.0,823.0,671.170215,809.170215,671.170215,605.0,9240.3174,,,0.0,0.0,15.0,374.0,352.0,640.415,131.04,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 10:30:00,472.58171,0,6970.02,6330.45,0,-639.57,0,,,49,,,,,,,,111.25,,,,,,,,113.25,,,,,,,,229.4,,,,,,,,268.0,,,,,,,,145.0,,,,,,9584.451,413.0,7254.12869,6985.04,,36.0,,,,118.68,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,7.84,0.1,0.1,0.1,1.0,853.31637,981.31637,944.31637,823.0,671.37279,713.37279,675.37279,612.75355,9209.6934,,,0.0,0.0,15.0,336.31637,352.0,621.649,119.802,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 11:00:00,449.96,0,6788.12,6118.16,0,-669.96,0,,,39,,,,,,,,113.0,,,,,,,,107.0,,,,,,,,242.24,,,,,,,,275.0,,,,,,,,152.0,,,,,,9554.52,413.0,6985.03873,6804.06,,34.0,,,,25.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,9.89,0.38,0.38,0.1,0.72,892.0,1020.0,984.0,817.0,645.0,687.0,651.0,619.0,9173.152,,,0.0,0.0,15.0,374.0,350.0,616.668,110.852,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 11:30:00,449,0,6566.44,5884.36,18.82,-700.9,0,,,62.62,,,,,,,,113.0,,,,,,,,107.0,,,,,,,,179.17,,,,,,,,242.93,,,,,,,,148.0,,,,,,9536.358,513.0,6804.05635,6599.72,,43.0,,,,25.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,9.89,0.38,0.38,0.1,0.72,894.0,1021.0,985.0,843.81968,647.0,689.0,657.0,600.18032,9154.07,,,0.0,0.0,15.0,374.0,350.0,606.408,101.95,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 12:00:00,324.56517,0,6514.44,5852.76,59,-720.68,0,,,83,,,,,,,,113.0,,,,,,,,107.0,,,,,,,,167.34,,,,,,,,226.0,,,,,,,,156.96,,,,,,9516.763,513.0,6599.7165,6586.78,,43.0,,,,30.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,9.89,0.38,0.38,0.38,0.72,894.0,1022.0,986.0,885.0,647.0,689.0,661.0,560.0,9143.04484,,,0.0,0.0,15.0,374.0,350.0,594.685,99.078,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 12:30:00,378.89363,0,6455.87,5825.86,50,-680.01,0,,,90,,,,,,,,116.0,,,,,,,,110.0,,,,,,,,160.76,,,,,,,,198.0,,,,,,,,167.0,,,,,,9494.861,513.0,6586.77803,6516.75,,44.0,,,,30.0,,,,,,,,,,,,,,,,,,,0.37,0.1,0.1,11.05,0.38,0.38,0.38,0.38,896.0,1023.0,987.0,867.0,648.0,690.0,665.0,566.0,9156.88268,,,0.0,0.0,15.0,374.0,351.0,575.914,95.947,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 13:00:00,306.3995,0,6334.27,5770.7,64,-627.56,0,,,39,,,,,,,,113.0,,,,,,,,107.0,,,,,,,,152.46,,,,,,,,222.72,,,,,,,,166.0,,,,,,9475.18899,501.0,6516.75224,6408.11,,38.0,,,,40.0,,,,,,,,,,,,,,,,,,,0.37,0.1,0.1,11.05,0.38,0.38,0.01,0.01,895.0,1022.0,986.0,880.0,638.0,680.0,659.0,543.0,9190.84067,,,0.0,0.0,15.0,374.0,350.0,554.215,95.97399,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 13:30:00,307.20962,0,6273.55,5690.63,75,-657.92,0,,,39,,,,,,,,49.0,,,,,,,,90.0,,,,,,,,148.77,,,,,,,,224.91,,,,,,,,166.91,,,,,,9430.11,412.0,6408.10769,6358.24,,48.0,,,,60.0,,,,,,,,,,,,,,,,,,,0.37,0.1,0.1,9.89,0.38,0.38,0.1,0.1,895.0,1022.0,986.0,891.0,620.0,661.0,634.0,523.0,9198.84168,,,0.0,0.0,15.0,374.0,345.0,523.063,82.047,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 14:00:00,377.82322,0,6269.56,5689.95,100,-679.61,0,,,15,,,,,,,,11.0,,,,,,,,24.0,,,,,,,,109.68,,,,,,,,159.47,,,,,,,,147.0,,,,,,9375.951,292.0,6358.24261,6380.4,,16.0,,,,25.0,,,,,,,,,,,,,,,,,,,0.37,0.1,0.1,9.89,0.39,0.39,0.38,1.0,895.0,1022.0,986.0,855.0,605.0,581.0,585.0,468.0,9192.10562,,,0.0,2.0,16.0,375.0,323.0,480.205,71.746,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 14:30:00,310.78,0,6313.96,5654.06,13.57,-673.47,0,,,19,,,,,,,,14.0,,,,,,,,9.0,,,,,,,,87.82,,,,,,,,164.73,,,,,,,,159.0,,,,,,9327.06,275.0,6380.40388,6335.5,,196.0,,,,29.57,,,,,,,,,,,,,,,,,,,0.23,0.1,0.1,9.89,0.38,0.38,0.01,0.01,894.0,1021.0,985.0,829.57219,434.42781,474.42781,478.42781,566.42781,9146.20242,,,0.0,2.0,16.0,375.0,172.0,431.195,64.865,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 15:00:00,600.82,0,6498.96,5666.71,0,-832.25,0,,,42,,,,,,,,50.0,,,,,,,,125.07,,,,,,,,151.99,,,,,,,,199.84,,,,,,,,158.8,,,,,,9275.867,284.0,6335.497,6510.57,,4.0,,,,25.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,9.89,0.86,1.37,0.0,0.0,892.0,928.15632,892.15632,809.0,615.0,710.84368,616.0,480.9339,9095.00942,,,0.0,0.0,15.0,374.0,352.0,386.609,58.258,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 15:30:00,406.48,0,6755.24,5899.4,0,-855.84,0,,,19,,,,,,,,13.0,,,,,,,,9.0,,,,,,,,166.59,,,,,,,,240.62,,,,,,,,167.0,,,,,,9392.589,275.0,6510.56898,6767.39,,24.0,,,,25.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,9.89,0.38,0.39,0.38,3.6,749.19165,877.19165,841.19165,616.19165,578.0,610.0,613.0,779.80835,9211.73142,,,0.0,2.0,28.0,231.19165,352.0,357.659,52.93,0.81,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 16:00:00,683.74929,0,7009.68,6084.43,2,-927.24,0,,,42,,,,,,,,44.0,,,,,,,,50.98,,,,,,,,245.39,,,,,,,,269.0,,,,,,,,155.0,,,,,,9427.434,273.0,6767.39296,7025.97,,31.0,,,,32.0,,,,,,,,,,,,,,,,,,,0.39,0.36,0.1,12.18834,0.39,0.38,0.38,3.6,728.0,760.0,724.0,609.0,564.0,700.0,609.0,731.02047,9145.35634,,,0.0,0.0,88.0,206.0,302.0,290.082,49.352,0.93,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 16:30:00,817.82313,0,7340.13,5908.04,0,-1432.09,0,,,45,,,,,,,,52.0,,,,,,,,33.0,,,,,,,,241.0,,,,,,,,252.0,,,,,,,,139.0,,,,,,8988.452,0.0,7025.9658,7374.19,,64.0,,,,50.0,,,,,,,,,,,,,,,,,,,41.92,0.4,0.15,45.92,0.38821,1.37,0.45,3.99,690.0,722.0,686.0,445.41054,367.0,529.0,409.0,451.58946,8801.71208,,,0.0,0.0,92.0,204.0,131.0,173.405,49.047,9.99,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 17:00:00,1447.05608,0,7641.92,6293.28,0,-1348.64,0,,,47,,,,,,,,49.0,,,,,,,,20.0,,,,,,,,237.0,,,,,,,,250.0,,,,,,,,138.0,,,,,,8915.278,140.0,7374.19419,7673.95,,54.0,,,,15.0,,,,,,,,,,,,,,,,,,,51.73,0.39,0.15,60.0,0.04,0.45,0.45,3.99,670.0,674.0,676.0,194.0,418.0,540.0,414.0,837.0,8657.878,,,0.0,0.0,65.61,194.0,181.0,41.443,48.835,0.86,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 17:30:00,17499.89,0,7950.38,6520.3,0,-1426.08,0,,,61,,,,,,,,71.0,,,,,,,,34.2,,,,,,,,233.5,,,,,,,,243.0,,,,,,,,129.0,,,,,,8877.104,357.0,7673.94975,7978.78,,64.0,,,,10.0,,,,,,,,,,,,,,,,,,,734.34001,102.73,0.37,255.52,0.1,0.45,0.39,3.99,561.0,565.0,567.0,83.0,460.0,563.0,429.0,977.0,8592.104,,,0.0,0.0,23.73,85.0,192.0,1.852,48.252,0.86,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 18:00:00,17499.91,0,8169.76,7054.62,0,-1111.13,0,,,65,,,,,,,,83.0,,,,,,,,31.0,,,,,,,,243.0,,,,,,,,252.0,,,,,,,,138.0,,,,,,8878.787,369.0,7978.78387,8187.17,,64.0,,,,22.98,,,,,,,,,,,,,,,,,,,1767.16,399.0,0.39,1109.15,0.01,0.38,0.38,3.99,570.0,574.0,576.0,92.97869,460.0,575.0,433.0,966.0,8593.787,,,0.0,0.0,31.5,94.0,192.0,0.0,46.787,0.86,0.0
